wuu,yue,count
阿,我,9
拉,哋,9
试,试,1
试,吓,1
-,吖,4
哏,-,1
末,-,1
哪,嗯,1
能,咁,1
呢,呢,1
侬,唔,5
勿,好,1
-,喺,3
要,度,1
瞎,乱,1
讲,噏,1
-,廿,1
-,四,1
搿,呢,13
只,粒,1
苹,苹,3
果,果,5
老,好,7
酸,酸,1
个,-,15
勿,唔,12
要,好,5
忘,唔,3
记,记,4
-,得,2
脱,听,1
明,日,1
朝,六,1
点,点,2
钟,-,2
来,嚟,8
寻,搵,1
我,我,42
-,喎,4
相,-,3
信,谂,1
伊,佢,19
是,系,17
聪,聪,1
明,明,1
人,人,12
-,嚟,5
-,嘅,1
啥,几,2
辰,时,2
光,-,6
出,出,2
发,发,1
最,最,3
方,方,1
便,便,1
侬,你,25
永,永,1
远,远,3
勿,都,1
-,唔,11
会,会,5
得,-,6
忘,忘,1
脱,-,3
打,谂,1
算,住,1
拿,送,1
只,只,4
手,-,2
表,表,1
送,俾,1
拨,-,2
搿,啲,1
眼,-,1
是,书,1
啥,-,2
人,边,2
个,个,12
书,㗎,1
条,条,2
规,规,1
则,则,1
个,时,1
辰,-,3
侪,都,3
适,啱,1
用,用,2
个,㗎,8
天,天,2
气,气,1
每,每,1
日,日,2
天,都,1
侪,喺,1
垃,-,4
海,度,1
变,变,1
-,紧,3
应,应,3
该,该,3
跟,同,5
㑚,你,1
爷,阿,3
娘,爸,1
-,阿,2
谈,妈,1
清,倾,1
爽,吓,1
先,先,1
呒,唔,1
-,系,5
没,好,1
多,多,3
少,-,1
海,有,1
个,嘅,17
结,结,2
论,论,1
就,就,3
诶,-,1
额,个,1
传,传,2
言,言,2
真,真,1
汤,阿,2
-,T,2
姆,o,2
-,m,2
回,返,3
到,咗,1
乡,乡,1
下,下,1
头,-,2
了,-,8
眼,啲,3
古,古,1
老,老,6
习,习,1
俗,俗,1
侪,-,4
是,都,2
一,一,9
代,代,2
传,-,1
统,噉,1
下,落,2
穿,着,2
啥,咩,4
好,咁,1
看,靓,1
-,啲,7
房,屋,2
子,-,3
-,间,2
家,一,1
家,间,1
-,噉,1
着,着,1
起,咗,1
火,火,2
来,-,5
伊,-,4
昨,佢,1
-,寻,1
啥,做,1
道,咩,1
理,唔,1
勿,嚟,1
来,嘅,1
个,间,2
房,房,2
间,-,1
除,除,2
脱,咗,2
张,张,1
桌,枱,1
凳,-,1
别,就,1
样,咩,1
物,-,1
事,都,1
侪,无,1
呒,喇,1
没,-,1
过,过,5
了,咗,6
三,三,3
天,日,2
侪,先,2
晓,-,2
得,知,2
原,原,1
来,来,1
失,失,2
-,咗,9
踪,踪,1
侬,-,11
啥,你,1
个,几,1
来,呀,1
懂,识,4
部,部,1
照,-,2
相,相,1
机,机,2
伐,呀,8
按,-,1
跟,叫,1
讲,点,1
个,做,1
搿,你,1
能,就,1
-,点,2
做,做,3
欢,锺,2
喜,意,2
垃,喺,10
电,电,4
视,视,2
浪,-,5
向,度,1
看,睇,6
网,网,1
球,球,3
比,比,1
赛,赛,1
哀,嗰,2
幅,幅,1
画,画,1
印,印,1
象,象,1
派,派,1
大,大,5
师,师,3
级,级,1
作,作,1
-,品,1
拉,-,5
赤,赤,1
道,道,1
附,附,2
近,近,2
邪,-,1
气,狭,1
笑,窄,1
区,区,2
域,域,2
热,热,2
带,带,3
雨,雨,3
林,林,2
勿,而,1
停,-,1
个,家,1
受,不,1
-,断,1
-,咁,1
到,俾,1
类,类,1
破,破,1
坏,坏,1
预,预,1
计,计,1
两,二,1
零,零,3
年,年,2
之,之,3
前,前,3
搿,嗰,2
-,会,1
个,有,1
五,五,2
分,分,2
四,四,2
将,-,1
会,-,1
从,喺,2
地,地,1
浪,度,1
消,消,1
学,学,4
会,吓,1
控,控,1
制,制,1
自,自,1
家,己,1
情,情,1
