cmn,wen,count
-我,卬你,6
我们,你-,7
们试,-试,1
试试,试试,1
试看,试眙,1
那又,那就,1
又-,就訾,1
-怎,訾那,1
怎样,那能,1
样-,能爻,1
不要,覅-,3
要说,-讲,1
说废,讲废,1
废话,废话,1
这个,居个,1
个苹,个苹,1
苹果,苹果,3
果-,果酸,1
-很,酸显,1
很酸,显酸,1
别-,覅悗,2
-忘,悗记,2
忘了,记爻,2
了明,爻明,1
明天,明朝,1
天六,朝六,1
六时,六点,1
时-,点钟,1
--,钟走,1
-来,走来,2
来接,来接,1
接我,接我,1
我相,我相,1
相信,相信,4
信他,信渠,1
他是,渠是,2
是个,是个,2
个聪,个聪,1
聪明,聪明,1
明人,明人,1
什么,-若,2
么时,若能,2
时候,能届,2
候出,届走,1
出发,走-,1
发最,-最,1
最方,最方,1
方便,方便,1
便-,便啊,1
-你,啊你,1
我永,我永,1
永远,永远,2
远不,远覅,2
不会,覅-,1
会忘,-悗,1
忘记,悗记,2
记你,记你,1
我打,我打,1
打算,打算,2
算把,算逮,1
把-,逮居,1
-这,居个,3
这块,个-,1
块手,-手,1
手表,手表,2
表送,表送,1
送给,送匄,1
给你,匄你,1
这些,居厘,3
些书,厘书,1
书是,书是,2
是-,是何,3
--,何乜,3
-谁,乜人,2
谁的,人个,2
这条,居条,1
条规,条规,1
规则,规定,1
则不,定否,1
不是,否是,2
是什,是若,1
什么,若能,1
么时,能届,1
时候,届沃,1
候都,沃可,1
都适,可以,1
适用,以用,1
用的,用个,1
天气,天气,1
气每,气每,1
每天,每日,1
天-,日沃,1
-都,沃是,1
都在,是得,1
在变,得变,1
你应,你应,3
应该,应该,3
该先,该伉,1
先和,伉-,1
和你,-你,1
你的,你-,1
的父,-爸,1
父母,爸妈,2
母谈,妈谈,1
谈-,谈一,1
-谈,一谈,1
谈-,谈先,1
参加,参加,2
加的,加个,1
的人,个人,2
人并,人并,1
并不,并否,1
不多,否多,1
我们,我厘,2
们的,厘个,1
的结,个结,1
结论,结论,1
论就,论就,1
就是,就是,1
是那,是许,1
那个,许个,1
个传,个传,1
传言,传言,1
言是,言是,1
是真,是真,1
真的,真个,1
汤姆,汤姆,2
姆回,姆走,1
回乡,走乡,1
乡下,乡下,1
下-,下转,1
-了,转哦,1
了-,哦罢,1
些古,厘-,1
古老,-老,1
老-,老个,1
-习,个习,1
习俗,习俗,1
俗都,俗沃,1
都是,沃是,1
是一,是一,1
一代,一代,2
代一,代一,1
代相,代-,1
相传,-传,1
传下,传下,1
下来,下-,2
来的,-个,1
-她,渠着,1
她穿,着-,1
穿什,-何,1
什么,何乜,5
么都,乜沃,1
都好,沃好,1
好看,好眙,2
房子,屋宕,3
子一,宕一,1
一间,一间,2
间一,间一,1
间地,间能,1
地着,能烧,1
着了,烧起,1
了火,起-,1
她昨,渠昨,1
昨天,昨夜,1
天为,夜妆,1
为什,妆嚷,1
什么,嚷冇,1
么不,冇走,1
不来,走来,1
他的,渠个,1
的房,个-,1
房间,-间,1
间-,间里,1
-除,里除,1
除了,除爻,1
了一,爻一,1
一张,一张,1
张桌,张桌,1
桌子,桌-,1
子就,-就,1
就什,就何,1
么也,乜-,1
也没,-沃,1
没有,沃冇,1
有了,冇-,1
过了,过去,1
了三,去三,1
三天,三日,1
天我,日我,1
我才,我新,2
才知,新晓,2
知道,晓得,2
道原,得原,1
原来,原来,1
来-,来渠,1
-她,渠走,2
她失,走狃,1
失踪,狃宕,1
踪了,宕罢,1
你什,你-,1
候回,届走,1
回来,走来,2
你懂,你晓,1
懂得,晓得,1
得用,得用,1
用这,用居,1
这台,居台,1
台相,台相,1
相机,相机,1
机吗,机啊,1
吗-,啊伐,9
我叫,我叫,1
叫你,叫你,1
你怎,你訾,1
怎么,訾那,5
么做,那做,2
做你,做你,1
你就,你就,1
就怎,就訾,1
她很,渠很,1
很喜,很喜,1
喜欢,喜欢,2
欢在,欢缩,1
在电,缩电,1
电视,电视,2
视上,视上,1
上看,上眙,1
看网,眙网,1
网球,网球,1
球比,球比,1
比赛,比赛,1
那幅,许幅,1
幅画,幅画,1
画是,画是,1
是印,是印,1
印象,印象,1
象派,象派,1
派的,派个,1
的大,个大,1
大师,大师,1
师级,师级,1
级作,级作,1
作品,作品,1
位处,位于,1
处赤,于赤,1
赤道,赤道,1
道附,道边,1
附近,边埏,1
近一,埏一,1
一个,一个,2
个狭,个狭,1
狭窄,狭个,1
窄区,个区,1
区域,区域,2
域的,域个,1
的热,个热,2
热带,热带,2
带雨,带雨,2
雨林,雨林,2
林正,林正,1
正在,正是,1
在-,是搭,2
-不,搭不,1
不断,不停,1
断地,停能,1
地遭,能遭,1
遭受,遭受,1
受人,受人,1
人类,人类,1
类的,类个,1
的破,个破,1
破坏,破坏,1
坏预,坏预,1
预计,预计,1
计在,计是,1
在二,是二,1
二零,二零,1
零零,零零,2
零年,零年,1
年之,年之,1
之前,之前,2
前该,前居,1
该区,居区,1
域将,域-,1
将会,-会,1
会有,会有,1
有五,有五,1
五分,五分,1
分之,分之,1
之四,之四,1
