cmn,yue,count
我们试,我哋试,1
们试试,哋试吓,1
试试看,试吓吖,1
那又怎,嗯咁呢,1
又怎样,咁呢-,1
不要-,唔好喺,1
要-说,好喺度,1
-说废,喺度乱,1
说废话,度乱噏,1
废话-,乱噏廿,1
话--,噏廿四,1
这个苹,呢粒苹,1
个苹果,粒苹果,1
苹果很,苹果好,1
果很酸,果好酸,1
--别,唔好唔,1
-别忘,好唔记,1
别忘了,唔记得,1
忘了明,记得听,1
了明天,得听日,1
明天六,听日六,1
天六时,日六点,1
六时来,六点嚟,1
时来接,点嚟搵,1
来接我,嚟搵我,1
接我-,搵我喎,1
我相信,我-谂,1
相信他,-谂佢,1
信他是,谂佢系,1
他是个,佢系-,1
是个聪,系-聪,1
个聪明,-聪明,1
聪明人,聪明人,1
明人-,明人嚟,1
人--,人嚟嘅,1
什么时,-几时,3
么时候,几时-,3
时候出,时-出,1
候出发,-出发,1
出发最,出发最,1
发最方,发最方,1
最方便,最方便,1
方便你,方便你,1
我永远,我永远,1
永远不,永远都,1
远不-,远都唔,1
不-会,都唔会,1
-会忘,唔会忘,1
会忘记,会忘记,1
忘记你,忘记你,1
我打算,我谂住,1
打算把,谂住送,1
算把这,住送呢,1
把这块,送呢-,1
这块手,呢-只,1
块手表,-只表,1
手表送,只表-,1
表送给,表-俾,1
送给你,-俾你,1
这些书,-啲书,1
些书是,啲书-,1
书是谁,书-边,1
是谁的,-边个,1
谁的-,边个㗎,2
这条规,呢条规,1
条规则,条规则,1
规则不,规则唔,1
则不是,则唔系,1
不是什,唔系-,1
是什么,系-几,1
时候都,时-都,1
候都适,-都啱,1
都适用,都啱用,1
适用的,啱用㗎,1
天气每,天气每,1
气每天,气每日,1
每天都,每日都,1
天都-,日都喺,1
都-在,都喺度,1
-在变,喺度变,1
在变-,度变紧,1
你应该,你应该,3
应该先,应该-,1
该先和,该-同,1
先和你,-同你,1
和你的,同你阿,1
你的父,你阿爸,1
的父-,阿爸阿,2
父-母,爸阿妈,3
-母谈,阿妈倾,1
母谈-,妈倾吓,1
谈-谈,倾吓先,1
-参加,唔系好,1
参加的,系好多,1
加的人,好多人,1
的人并,多人-,1
人并不,人-有,1
并不多,-有嚟,1
我们的,我哋嘅,1
们的结,哋嘅结,1
的结论,嘅结论,1
结论就,结论就,1
论就是,论就系,1
就是那,就系-,1
是那个,系-个,1
那个传,-个传,1
个传言,个传言,1
传言是,传言系,1
言是真,言系真,1
是真的,系真嘅,1
汤-姆,阿To,2
-姆-,Tom,2
姆-回,om返,1
-回-,m返咗,1
回-乡,返咗乡,1
-乡下,咗乡下,1
乡下了,乡下-,1
这些古,呢啲古,1
些古老,啲古老,1
古老-,古老嘅,1
老-习,老嘅习,1
-习俗,嘅习俗,1
习俗都,习俗都,1
俗都是,俗都系,1
都是一,都系一,1
是一代,系一代,1
一代一,一代一,1
代一代,代一代,1
一代相,一代噉,1
代相传,代噉传,1
相传下,噉传落,1
传下来,传落嚟,1
下来的,落嚟嘅,1
她穿什,佢着-,1
穿什么,着-咩,1
什么都,-咩都,1
么都好,咩都咁,1
都好看,都咁靓,1
-房子,啲屋-,1
房子一,屋-一,1
子一间,-一间,1
一间一,一间一,1
间一间,间一间,1
一间地,一间噉,1
间地着,间噉着,1
地着了,噉着咗,1
着了火,着咗火,1
她昨天,佢寻日,1
昨天为,寻日做,1
天为什,日做-,1
为什么,做-咩,1
什么不,-咩唔,1
么不来,咩唔嚟,1
不来-,唔嚟嘅,1
他的房,佢间房,1
的房间,间房-,1
房间除,房-除,1
间除了,-除咗,1
除了一,除咗-,1
了一张,咗-张,1
一张桌,-张枱,1
张桌子,张枱-,1
桌子就,枱-就,1
子就什,-就-,1
就什么,就-咩,1
什么也,-咩都,1
么也没,咩都无,1
也没有,都无喇,1
没有了,无喇-,1
过了三,过咗三,1
了三天,咗三日,1
三天我,三日我,1
天我才,日我先,1
我才知,我先知,2
才知道,先知-,2
知道原,知-原,1
道原来,-原来,1
原来她,原来佢,1
来她失,来佢失,1
她失-,佢失咗,1
失-踪,失咗踪,1
-踪了,咗踪-,1
你什么,你-几,1
时候回,时-返,1
候回-,-返嚟,1
回-来,返嚟呀,1
你懂得,你识唔,1
懂得-,识唔识,1
得-用,唔识用,1
-用这,识用呢,1
用这台,用呢部,1
这台相,呢部相,1
台相机,部相机,1
相机吗,相机呀,1
我叫你,我叫你,1
叫你怎,叫你-,1
你怎么,你-点,1
怎么做,-点做,2
么做你,点做你,1
做你就,做你就,1
你就怎,你就-,1
就怎么,就-点,1
她很喜,佢好锺,1
很喜欢,好锺意,1
喜欢在,锺意喺,1
欢在电,意喺电,1
在电视,喺电视,1
电视上,电视度,1
视上看,视度睇,1
上看网,度睇网,1
看网球,睇网球,1
网球比,网球比,1
球比赛,球比赛,1
那幅画,嗰幅画,1
幅画是,幅画系,1
画是印,画系印,1
是印象,系印象,1
印象派,印象派,1
象派的,象派嘅,1
派的大,派嘅大,1
的大师,嘅大师,1
大师级,大师级,1
师级作,师级作,1
级作品,级作品,1
位处赤,喺-赤,1
处赤道,-赤道,1
赤道附,赤道附,1
道附近,道附近,1
附近一,附近一,1
近一个,近一个,1
一个狭,一个狭,1
个狭窄,个狭窄,1
狭窄区,狭窄区,1
窄区域,窄区域,1
区域的,区域嘅,1
域的热,域嘅热,1
的热带,嘅热带,2
热带雨,热带雨,2
带雨林,带雨林,2
雨林正,雨林而,1
林正在,林而家,1
正在不,而家不,1
在不断,家不断,1
不断地,不断咁,1
断地遭,断咁-,1
地遭受,咁-俾,1
遭受人,-俾人,1
受人类,俾人类,1
人类的,人类-,1
类的破,类-破,1
的破坏,-破坏,1
破坏-,破坏紧,1
坏-预,坏紧预,1
-预计,紧预计,1
预计在,预计喺,1
计在二,计喺二,1
在二零,喺二零,1
二零零,二零零,1
零零零,零零零,1
零零年,零零年,1
零年之,零年之,1
年之前,年之前,1
之前-,之前嗰,1
前-该,前嗰个,1
-该区,嗰个区,1
该区域,个区域,1
区域将,区域-,1
域将会,域-会,1
将会有,-会有,1
会有五,会有五,1
有五分,有五分,1
五分之,五分之,1
分之四,分之四,1
之四的,之四嘅,1
四的热,四嘅热,1
雨林从,雨林喺,1
林从地,林喺地,1
从地球,喺地球,1
地球上,地球度,1
球上消,球度消,1
上消失,度消失,1
应该学,应该学,1
该学习,该学吓,1
学习控,学吓控,1
习控制,吓控制,1
控制自,控制自,1
制自己,制自己,1
自己的,自己嘅,1
己的情,己嘅情,1
的情绪,嘅情绪,1
-房子,啲屋狗,1
房子-,屋狗窦,1
子--,狗窦咁,1
--乱,窦咁乱,1
-乱七,咁乱-,1
乱七八,乱--,1
七八糟,--我,1
八糟也,-我都,1
糟也没,我都顶,1
也没问,都顶得,1
没问题,顶得顺,1
问题但,得顺但,1
题但是,顺但系,1
但是肮,但系污,1
是肮脏,系污糟,1
肮脏的,污糟嘅,1
脏的话,糟嘅话,1
的话我,嘅话我,1
话我-,话我就,1
我-接,我就接,1
-接受,就接受,1
接受不,接受唔,1
受不了,受唔到,1
她什么,佢-咩,1
什么事,-咩事,1
么事也,咩事都,1
事也依,事都靠,1
也依-,都靠晒,1
依-赖,靠晒个,1
-赖老,晒个老,1
赖老公,个老公,1
坐在角,坐喺角,1
在角落,喺角落,1
角落的,角落头,1
落的那,落头嗰,1
的那个,头嗰个,1
那个男,嗰个男,1
个男人,个男人,1
男人是,男人系,1
人是-,人系边,2
是-谁,系边个,2
-谁-,边个嚟,2
谁--,个嚟㗎,2
-请你,唔该你,3
请你把,该你将,1
你把-,你将个,1
把-故,将个故,1
-故事,个故事,1
故事从,故事由,1
事从头,事由头,1
从头到,由头到,1
头到尾,头到尾,1
到尾给,到尾讲,1
尾给-,尾讲晒,1
给--,讲晒俾,1
--我,晒俾我,1
-我们,俾我地,1
我们说,我地听,1
们说一,地听-,1
说一遍,听--,1
你--,你可唔,3
--可,可唔可,4
-可以,唔可以,4
可以带,可以带,1
以带我,以带我,1
带我去,带我去,1
我去吗,我去呀,1
你一定,你一定,1
一定要,一定要,1
定要考,定要-,1
要考虑,要-谂,1
考虑清,-谂清,1
虑清楚,谂清楚,1
清楚你,清楚你,1
楚你想,楚你想,1
你想做,你想做,1
想做怎,想做-,1
做怎么,做-啲,1
怎么样,-啲点,1
么样的,啲点嘅,1
样的工,点嘅工,1
的工作,嘅工-,1
你放假,你放假,1
放假打,放假谂,1
假打算,假谂住,1
打算去,谂住去,1
算去什,住去-,1
去什么,去-边,1
什么地,-边-,1
么地方,边-度,1
地方玩,-度玩,1
方玩呢,度玩呀,1
她把-,佢将个,1
把-苹,将个苹,1
-苹果,个苹果,1
苹果切,苹果切,1
果切成,果切开,1
切成了,切开咗,1
成了两,开咗两,1
了两半,咗两分,1
这些树,呢啲树,1
些树是,啲树系,1
树是他,树系佢,1
是他们,系佢哋,1
他们种,佢哋种,1
们种的,哋种嘅,1
瑞士人,瑞士人,1
士人大,士人-,1
人大多,人-多,1
大多-,-多数,1
多-能,多数识,1
-能说,数识讲,1
能说三,识讲三,1
说三四,讲三四,1
三四种,三四种,1
