wen,yue,count
卬你-,-我哋,6
你-试,我哋试,1
-试试,哋试吓,1
试试眙,试吓吖,1
那就訾,嗯咁-,1
就訾那,咁-呢,1
訾那能,-呢-,1
那能爻,呢--,1
覅讲-,唔好喺,1
讲--,好喺度,1
--废,喺度乱,1
-废话,度乱噏,1
废话-,乱噏廿,1
话--,噏廿四,1
居个苹,呢粒苹,1
个苹果,粒苹果,1
苹果酸,苹果好,1
果酸显,果好-,1
酸显酸,好-酸,1
覅-悗,唔好唔,3
-悗记,好唔记,3
悗记爻,唔记得,2
记爻明,记得听,1
爻明朝,得听日,1
明朝六,听日六,1
朝六点,日六点,1
六点钟,六点-,1
点钟走,点--,1
钟走来,--嚟,1
走来接,-嚟搵,1
来接我,嚟搵我,1
接我-,搵我喎,1
我相信,我-谂,1
相信渠,-谂佢,1
信渠是,谂佢系,1
渠是个,佢系-,1
是个聪,系-聪,1
个聪明,-聪明,1
聪明人,聪明人,1
明人-,明人嚟,1
人--,人嚟嘅,1
若能届,几时出,1
能届走,时出发,1
届走最,出发最,1
走最方,发最方,1
最方便,最方便,1
方便啊,方便-,1
便啊你,便-你,1
我永远,我永远,1
永远-,永远都,1
远-覅,远都唔,1
-覅-,都唔会,1
覅-悗,唔会忘,1
-悗记,会忘记,1
悗记你,忘记你,1
我打算,我谂住,1
打算逮,谂住送,1
算逮居,住送呢,1
逮居个,送呢只,1
居个手,呢只-,1
个手表,只-表,1
手表送,-表俾,1
表送匄,表俾-,1
送匄你,俾-你,1
居厘书,-啲书,1
厘书是,啲书边,1
书是何,书边-,1
是何乜,边--,2
何乜人,---,2
乜人个,--个,2
人个-,-个㗎,1
居条规,呢条规,1
条规定,条规-,1
规定否,规--,1
定否是,--则,1
否是若,-则唔,1
是若能,则唔系,1
若能届,唔系几,1
能届沃,系几-,1
届沃可,几-时,1
沃可以,-时都,1
可以-,时都啱,1
以-用,都啱用,1
-用个,啱用㗎,1
天气每,天气每,1
气每日,气每日,1
每日沃,每日-,1
日沃是,日-都,1
沃是-,-都喺,1
是-得,都喺度,1
-得变,喺度变,1
得变-,度变紧,1
