wuu,yue,count
阿拉试,我哋试,1
拉试试,哋试吓,1
试试-,试吓吖,1
哏末哪,--嗯,1
末哪能,-嗯咁,1
哪能呢,嗯咁呢,1
侬勿-,唔好喺,1
勿-要,好喺度,1
-要瞎,喺度乱,1
要瞎讲,度乱噏,1
瞎讲-,乱噏廿,1
讲--,噏廿四,1
搿只苹,呢粒苹,1
只苹果,粒苹果,1
苹果老,苹果好,1
果老酸,果好酸,1
老酸个,好酸-,1
勿要忘,唔好唔,2
要忘记,好唔记,3
忘记-,唔记得,1
记-脱,记得听,1
-脱明,得听日,1
脱明朝,听日六,1
明朝点,日六点,1
朝点钟,六点-,1
点钟来,点-嚟,1
钟来寻,-嚟搵,1
来寻我,嚟搵我,1
寻我-,搵我喎,1
我相信,我-谂,1
相信伊,-谂佢,1
信伊是,谂佢系,1
伊是个,佢系-,1
是个聪,系-聪,1
个聪明,-聪明,1
聪明人,聪明人,1
明人-,明人嚟,1
人--,人嚟嘅,1
啥辰光,几时-,1
辰光出,时-出,1
光出发,-出发,1
出发最,出发最,1
发最方,发最方,1
最方便,最方便,1
方便侬,方便你,1
我永远,我永远,1
永远勿,永远都,1
远勿-,远都唔,1
勿-会,都唔会,1
-会得,唔会-,1
会得忘,会-忘,1
得忘记,-忘记,1
忘记脱,忘记-,1
记脱侬,记-你,1
我打算,我谂住,1
打算拿,谂住送,1
算拿搿,住送呢,1
拿搿只,送呢只,1
搿只手,呢只-,1
只手表,只-表,1
手表送,-表俾,1
表送拨,表俾-,1
送拨侬,俾-你,1
搿眼是,啲-书,1
眼是啥,-书-,1
是啥人,书-边,1
啥人个,-边个,2
人个书,边个㗎,1
搿条规,呢条规,1
条规则,条规则,1
规则勿,规则唔,1
则勿是,则唔系,1
勿是啥,唔系几,1
是啥个,系几时,1
啥个辰,几时-,1
个辰光,时--,1
辰光侪,--都,1
光侪适,-都啱,1
侪适用,都啱用,1
适用个,啱用㗎,1
天气每,天气每,1
气每日,气每日,1
每日天,每日都,1
日天侪,日都喺,1
天侪垃,都喺-,1
侪垃海,喺-度,1
垃海变,-度变,1
海变-,度变紧,1
侬应该,你应该,3
应该跟,应该同,1
该跟㑚,该同你,1
跟㑚爷,同你阿,1
㑚爷娘,你阿爸,1
爷娘-,阿爸阿,1
娘-谈,爸阿妈,1
-谈清,阿妈倾,1
谈清爽,妈倾吓,1
清爽先,倾吓先,1
呒-没,唔系好,1
-没多,系好多,1
没多少,好多-,1
多少人,多-人,1
少人垃,-人-,1
人垃海,人-有,1
垃海-,-有嚟,1
阿拉个,我哋嘅,1
拉个结,哋嘅结,1
个结论,嘅结论,1
结论就,结论就,1
论就是,论就系,1
就是诶,就系-,1
是诶额,系-个,1
诶额传,-个传,1
额传言,个传言,1
传言是,传言系,1
言是真,言系真,1
是真个,系真嘅,1
汤-姆,阿To,2
-姆-,Tom,2
姆-回,om返,1
-回到,m返咗,1
回到乡,返咗乡,1
到乡下,咗乡下,1
乡下头,乡下-,1
下头了,下--,1
搿眼古,呢啲古,1
眼古老,啲古老,1
古老个,古老嘅,1
老个习,老嘅习,1
个习俗,嘅习俗,1
习俗侪,习俗-,1
俗侪是,俗-都,1
侪是-,-都系,1
是-一,都系一,1
-一代,系一代,1
一代一,一代一,1
代一代,代一代,1
一代传,一代-,1
代传统,代-噉,1
传统传,-噉传,1
统传下,噉传落,1
传下来,传落嚟,1
下来个,落嚟嘅,1
伊穿啥,佢着咩,1
穿啥侪,着咩都,1
啥侪好,咩都咁,1
侪好看,都咁靓,1
-房子,啲屋-,1
房子一,屋-一,1
子一-,-一间,1
一-家,一间一,1
-家家,间一间,1
家家-,一间噉,1
家-着,间噉着,1
-着起,噉着咗,1
着起火,着咗火,1
起火来,咗火-,1
伊昨-,-佢寻,1
昨-日,佢寻日,1
-日啥,寻日做,1
日啥个,日做-,1
啥个道,做-咩,1
个道理,-咩唔,1
道理勿,咩唔嚟,1
理勿来,唔嚟嘅,1
伊个房,佢间房,1
个房间,间房-,1
房间除,房-除,1
间除脱,-除咗,1
除脱张,除咗张,1
脱张桌,咗张枱,1
张桌凳,张枱-,1
桌凳别,枱-就,1
凳别样,-就咩,1
别样物,就咩-,1
样物事,咩-都,1
物事侪,-都无,1
事侪呒,都无喇,1
侪呒没,无喇-,1
过了三,过咗三,1
了三天,咗三日,1
三天我,三日我,1
天我侪,日我先,1
我侪晓,我先-,1
侪晓得,先-知,1
晓得原,-知原,1
得原来,知原来,1
原来伊,原来佢,1
来伊失,来佢失,1
伊失-,佢失咗,1
失-踪,失咗踪,1
-踪了,咗踪-,1
侬啥个,-你几,1
啥个辰,你几时,1
个辰光,几时-,1
辰光回,时-返,1
光回-,-返嚟,1
回-来,返嚟呀,1
侬懂勿,你识唔,1
懂勿懂,识唔识,1
勿懂用,唔识用,1
懂用搿,识用呢,1
用搿部,用呢部,1
搿部照,呢部-,1
部照相,部-相,1
照相机,-相机,1
相机伐,相机呀,1
按照我,--我,1
照我跟,-我叫,1
我跟侬,我叫你,1
跟侬讲,叫你点,1
侬讲个,你点做,1
讲个搿,点做你,1
个搿能,做你就,1
搿能-,你就点,1
能-做,就点做,1
伊老欢,佢好锺,1
老欢喜,好锺意,1
欢喜垃,锺意喺,1
喜垃电,意喺电,1
垃电视,喺电视,1
电视浪,电视-,1
视浪向,视-度,1
浪向看,-度睇,1
向看网,度睇网,1
看网球,睇网球,1
网球比,网球比,1
球比赛,球比赛,1
比赛个,比赛-,1
哀幅画,嗰幅画,1
幅画是,幅画系,1
画是印,画系印,1
是印象,系印象,1
印象派,印象派,1
象派个,象派嘅,1
派个大,派嘅大,1
个大师,嘅大师,1
大师级,大师级,1
师级作,师级作,1
级作-,级作品,1
拉垃赤,-喺赤,1
垃赤道,喺赤道,1
赤道附,赤道附,1
道附近,道附近,1
附近一,附近一,1
近一个,近一个,1
一个邪,一个-,1
个邪气,个-狭,1
邪气笑,-狭窄,1
气笑个,狭窄-,1
笑个区,窄-区,1
个区域,-区域,1
区域个,区域嘅,1
域个热,域嘅热,1
个热带,嘅热带,2
热带雨,热带雨,2
带雨林,带雨林,2
雨林勿,雨林而,1
林勿停,林而-,1
勿停个,而-家,1
停个受,-家不,1
个受-,家不断,1
受--,不断咁,1
--到,断咁俾,1
-到人,咁俾人,1
到人类,俾人类,1
人类个,人类-,1
类个破,类-破,1
个破坏,-破坏,1
破坏-,破坏紧,1
坏-预,坏紧预,1
-预计,紧预计,1
预计拉,预计-,1
计拉垃,计-喺,1
拉垃两,-喺二,1
垃两零,喺二零,1
两零零,二零零,1
