cmn,wuu,count
我们试,阿拉试,1
们试试,拉试试,1
试试看,试试-,1
--那,哏末哪,1
-那又,末哪能,1
那又怎,哪能呢,1
又怎样,能呢-,1
-不要,侬勿要,1
不要说,勿要瞎,1
要说废,要瞎-,1
说废话,瞎-讲,1
这个苹,搿只苹,1
个苹果,只苹果,1
苹果很,苹果老,1
果很酸,果老酸,1
很酸-,老酸个,1
别-忘,勿要忘,2
-忘了,要忘记,2
忘了-,忘记脱,2
了-明,记脱明,1
-明天,脱明-,1
明天六,明-朝,1
天六时,-朝点,1
六时-,朝点钟,1
时-来,点钟来,1
-来接,钟来寻,1
来接我,来寻我,1
我相信,我相信,1
相信他,相信伊,1
信他是,信伊是,1
他是个,伊是个,2
是个聪,是个聪,1
个聪明,个聪明,1
聪明人,聪明人,1
什么时,-啥-,1
么时候,啥-辰,1
时候-,-辰光,2
候-出,辰光出,1
-出发,光出发,1
出发最,出发最,1
发最方,发最方,1
最方便,最方便,1
方便你,方便侬,1
我永远,我永远,1
永远不,永远勿,2
远不会,远勿会,1
不会-,勿会得,1
会-忘,会得忘,1
-忘记,得忘记,1
忘记-,忘记脱,1
记-你,记脱侬,1
我打算,我打算,1
打算把,打算拿,1
算把这,算拿搿,1
把这块,拿搿只,1
这块手,搿只手,1
块手表,只手表,1
手表送,手表送,1
表送给,表送拨,1
送给你,送拨侬,1
这些书,搿眼-,1
些书是,眼-是,1
书是谁,-是啥,1
是谁-,是啥人,4
谁-的,啥人个,2
-的-,人个书,1
这条规,搿条规,1
条规则,条规则,1
规则不,规则勿,1
则不是,则勿是,1
不是什,勿是-,1
是什么,是-啥,2
什么时,-啥个,2
么时候,啥个辰,2
时候-,个辰光,2
候-都,辰光侪,1
-都适,光侪适,1
都适用,侪适用,1
适用的,适用个,1
天气每,天气每,1
气每-,气每日,1
每-天,每日天,1
-天都,日天侪,1
天都-,天侪垃,1
都-在,侪垃海,1
-在变,垃海变,1
你应该,侬应该,3
应该先,应该跟,1
该先和,该跟㑚,1
先和你,跟㑚爷,1
和你的,㑚爷-,1
你的父,爷--,1
的父母,--娘,1
父母谈,-娘谈,1
母谈-,娘谈清,1
谈--,谈清爽,1
--谈,清爽先,1
参加的,呒没多,1
加的-,没多少,1
的-人,多少人,1
-人并,少人-,1
人并不,人-垃,1
并不多,-垃海,1
我们的,阿拉个,1
们的结,拉个结,1
的结论,个结论,1
结论就,结论就,1
论就是,论就是,1
就是那,就是诶,1
是那个,是诶额,1
那个传,诶额传,1
个传言,额传言,1
传言是,传言是,1
言是真,言是真,1
是真的,是真个,1
汤姆回,汤姆回,1
姆回-,姆回到,1
回-乡,回到乡,1
-乡下,到乡下,1
乡下-,乡下头,1
下-了,下头了,1
这些古,搿眼古,1
些古老,眼古老,1
古老-,古老个,1
老-习,老个习,1
-习俗,个习俗,1
习俗都,习俗侪,1
俗都是,俗侪是,1
都是一,侪是一,1
是一代,是一代,1
一代一,一代一,1
代一代,代一代,1
一代-,一代传,1
代-相,代传统,1
-相传,传统传,1
相传下,统传下,1
传下来,传下来,1
下来的,下来个,1
她穿什,伊穿-,1
穿什么,穿-啥,1
什么都,-啥侪,1
么都好,啥侪好,1
都好看,侪好看,1
房子一,房子一,1
子一间,子一-,1
一间一,一-家,1
间一间,-家家,1
一间地,家家-,1
间地着,家-着,1
地着了,-着起,1
着了火,着起火,1
了火-,起火来,1
她昨天,伊昨日,1
昨天为,昨日-,1
天为什,日-啥,1
为什么,-啥个,1
什么-,啥个道,1
么--,个道理,1
--不,道理勿,1
-不来,理勿来,1
他的房,伊个房,1
的房间,个房间,1
房间除,房间除,1
间除了,间除-,1
除了一,除-脱,1
了一张,-脱张,1
一张桌,脱张桌,1
张桌子,张桌凳,1
桌子就,桌凳别,1
子就什,凳别-,1
就什么,别-样,1
什么-,-样物,1
么-也,样物事,1
-也-,物事侪,1
也--,事侪呒,1
--没,侪呒没,1
-没有,呒没-,4
没有了,没--,1
过了三,过了三,1
了三天,了三天,1
三天我,三天我,1
天我才,天我侪,1
我才知,我侪晓,2
才知道,侪晓得,2
知道原,晓得原,1
道原来,得原来,1
原来她,原来伊,1
来她失,来伊失,1
她失踪,伊失踪,1
失踪了,失踪了,1
你什么,侬-啥,1
候-回,辰光回,1
-回来,光回来,1
你懂-,侬懂勿,1
懂-得,懂勿懂,1
-得用,勿懂用,1
得用这,懂用搿,1
用这台,用搿部,1
这台-,搿部照,1
台-相,部照相,1
-相机,照相机,1
相机吗,相机伐,1
我叫你,按照我,1
叫你怎,照我跟,1
你怎么,我跟侬,1
怎么做,跟侬讲,1
么做你,侬讲个,1
做你就,讲个搿,1
你就怎,个搿能,1
就怎么,搿能-,1
怎么做,能-做,1
她很-,伊老欢,1
很-喜,老欢喜,1
-喜欢,欢喜垃,1
喜欢在,喜垃-,1
欢在电,垃-电,1
