cmn,wen,count
-我们,卬你-,6
我们试,你-试,1
们试试,-试试,1
试试看,试试眙,1
那又-,那就訾,1
又-怎,就訾那,1
-怎样,訾那能,1
怎样-,那能爻,1
不要说,覅-讲,1
要说废,-讲废,1
说废话,讲废话,1
这个苹,居个苹,1
个苹果,个苹果,1
苹果-,苹果酸,1
果-很,果酸显,1
-很酸,酸显酸,1
别-忘,覅悗记,2
-忘了,悗记爻,2
忘了明,记爻明,1
了明天,爻明朝,1
明天六,明朝六,1
天六时,朝六点,1
六时-,六点钟,1
时--,点钟走,1
--来,钟走来,1
-来接,走来接,1
来接我,来接我,1
我相信,我相信,1
相信他,相信渠,1
信他是,信渠是,1
他是个,渠是个,2
是个聪,是个聪,1
个聪明,个聪明,1
聪明人,聪明人,1
什么时,-若能,2
么时候,若能届,2
时候出,能届走,1
候出发,届走-,1
出发最,走-最,1
发最方,-最方,1
最方便,最方便,1
方便-,方便啊,1
便-你,便啊你,1
我永远,我永远,1
永远不,永远覅,2
远不会,远覅-,1
不会忘,覅-悗,1
会忘记,-悗记,1
忘记你,悗记你,1
我打算,我打算,1
打算把,打算逮,1
算把-,算逮居,1
把-这,逮居个,1
-这块,居个-,1
这块手,个-手,1
块手表,-手表,1
手表送,手表送,1
表送给,表送匄,1
送给你,送匄你,1
这些书,居厘书,1
些书是,厘书是,1
书是-,书是何,1
是--,是何乜,3
--谁,何乜人,2
-谁的,乜人个,2
这条规,居条规,1
条规则,条规定,1
规则不,规定否,1
则不是,定否是,1
不是什,否是若,1
是什么,是若能,1
什么时,若能届,1
么时候,能届沃,1
时候都,届沃可,1
候都适,沃可以,1
都适用,可以用,1
适用的,以用个,1
天气每,天气每,1
气每天,气每日,1
每天-,每日沃,1
天-都,日沃是,1
-都在,沃是得,1
都在变,是得变,1
你应该,你应该,3
应该先,应该伉,1
该先和,该伉-,1
先和你,伉-你,1
和你的,-你-,1
你的父,你-爸,1
的父母,-爸妈,1
父母谈,爸妈谈,1
母谈-,妈谈一,1
谈-谈,谈一谈,1
-谈-,一谈先,1
参加的,参加个,1
加的人,加个人,1
的人并,个人并,1
人并不,人并否,1
并不多,并否多,1
我们的,我厘个,1
们的结,厘个结,1
的结论,个结论,1
结论就,结论就,1
论就是,论就是,1
就是那,就是许,1
是那个,是许个,1
那个传,许个传,1
个传言,个传言,1
传言是,传言是,1
言是真,言是真,1
是真的,是真个,1
汤姆回,汤姆走,1
姆回乡,姆走乡,1
回乡下,走乡下,1
乡下-,乡下转,1
下-了,下转哦,1
-了-,转哦罢,1
这些古,居厘-,1
些古老,厘-老,1
古老-,-老个,1
老-习,老个习,1
-习俗,个习俗,1
习俗都,习俗沃,1
俗都是,俗沃是,1
都是一,沃是一,1
是一代,是一代,1
一代一,一代一,1
代一代,代一代,1
一代相,一代-,1
代相传,代-传,1
相传下,-传下,1
传下来,传下-,1
下来的,下-个,1
-她穿,渠着-,1
她穿什,着-何,1
穿什么,-何乜,1
什么都,何乜沃,1
么都好,乜沃好,1
都好看,沃好眙,1
房子一,屋宕一,1
子一间,宕一间,1
一间一,一间一,1
间一间,间一间,1
一间地,一间能,1
间地着,间能烧,1
地着了,能烧起,1
着了火,烧起-,1
她昨天,渠昨夜,1
昨天为,昨夜妆,1
天为什,夜妆嚷,1
为什么,妆嚷冇,1
什么不,嚷冇走,1
么不来,冇走来,1
他的房,渠个-,1
的房间,个-间,1
房间-,-间里,1
间-除,间里除,1
-除了,里除爻,1
除了一,除爻一,1
了一张,爻一张,1
一张桌,一张桌,1
张桌子,张桌-,1
桌子就,桌-就,1
子就什,-就何,1
就什么,就何乜,1
什么也,何乜-,1
么也没,乜-沃,1
也没有,-沃冇,1
没有了,沃冇-,1
过了三,过去三,1
了三天,去三日,1
三天我,三日我,1
天我才,日我新,1
我才知,我新晓,2
才知道,新晓得,2
知道原,晓得原,1
道原来,得原来,1
原来-,原来渠,1
来-她,来渠走,1
-她失,渠走狃,1
她失踪,走狃宕,1
失踪了,狃宕罢,1
你什么,你-若,1
时候回,能届走,1
候回来,届走来,1
你懂得,你晓得,1
懂得用,晓得用,1
得用这,得用居,1
用这台,用居台,1
这台相,居台相,1
台相机,台相机,1
