cmn,yue,count
我,我,53
们,哋,9
试,试,1
试,吓,1
看,吖,1
那,嗯,1
又,咁,1
怎,呢,1
样,-,1
不,唔,14
要,好,2
-,喺,4
说,度,1
废,乱,1
话,噏,1
-,廿,1
-,四,1
这,呢,16
个,粒,1
苹,苹,3
果,果,5
很,好,9
酸,酸,1
-,唔,17
-,好,7
别,唔,4
忘,记,1
了,得,3
明,听,1
天,日,6
六,六,1
时,点,2
来,嚟,9
接,搵,1
-,喎,4
相,-,4
信,谂,1
他,佢,14
是,系,20
个,-,3
聪,聪,1
明,明,1
人,人,10
-,嚟,4
-,嘅,3
什,-,10
么,几,3
时,时,4
候,-,4
出,出,2
发,发,1
最,最,3
方,方,1
便,便,1
你,你,42
永,永,1
远,远,3
不,都,1
会,会,6
忘,忘,1
记,记,2
打,谂,2
算,住,2
把,送,1
块,-,1
手,只,1
表,表,1
送,-,1
给,俾,4
这,-,2
些,啲,4
书,书,6
是,-,6
谁,边,2
的,个,4
-,㗎,6
条,条,1
规,规,1
则,则,1
都,都,8
适,啱,1
用,用,2
的,㗎,7
天,天,2
气,气,1
每,每,1
在,度,2
变,变,1
-,紧,3
应,应,3
该,该,3
先,-,1
和,同,5
的,阿,2
父,爸,3
-,阿,4
母,妈,3
谈,倾,1
-,吓,2
谈,先,1
参,系,1
加,好,1
的,多,1
并,-,1
不,有,1
多,嚟,1
的,嘅,16
结,结,2
论,论,1
就,就,5
那,-,3
个,个,6
传,传,2
言,言,2
真,真,2
汤,阿,2
-,T,2
姆,o,2
-,m,2
回,返,3
-,咗,7
乡,乡,1
下,下,1
了,-,7
古,古,1
老,老,5
习,习,1
俗,俗,1
一,一,10
代,代,2
相,噉,1
下,落,5
她,佢,10
穿,着,2
么,咩,8
好,咁,1
看,靓,1
-,啲,6
房,屋,4
子,-,4
间,间,4
地,噉,1
着,着,1
了,咗,13
火,火,2
昨,寻,1
为,做,1
的,间,2
房,房,2
间,-,2
除,除,2
一,-,3
张,张,1
桌,枱,2
也,都,5
没,无,3
有,喇,1
过,过,6
三,三,3
才,先,3
知,知,3
道,-,3
原,原,1
来,来,1
失,失,2
踪,踪,1
来,呀,1
懂,识,3
得,唔,1
-,识,5
台,部,1
相,相,1
机,机,2
吗,呀,9
叫,叫,1
怎,-,6
么,点,5
做,做,4
喜,锺,2
欢,意,2
在,喺,13
电,电,4
视,视,2
上,度,3
看,睇,7
网,网,1
球,球,3
比,比,1
赛,赛,1
那,嗰,3
幅,幅,1
画,画,1
印,印,1
象,象,1
派,派,1
大,大,5
师,师,3
级,级,1
作,作,1
品,品,1
位,喺,1
处,-,1
赤,赤,1
道,道,1
附,附,2
近,近,2
狭,狭,1
窄,窄,1
区,区,2
域,域,2
热,热,2
带,带,3
雨,雨,3
林,林,2
正,而,1
在,家,1
不,不,1
断,断,1
地,咁,1
遭,-,1
受,俾,1
类,类,1
的,-,3
破,破,1
坏,坏,1
预,预,1
计,计,1
二,二,1
零,零,3
年,年,2
之,之,3
前,前,3
-,嗰,8
该,个,1
将,-,1
有,有,10
五,五,2
分,分,2
四,四,2
从,喺,2
地,地,1
消,消,1
学,学,4
习,吓,1
控,控,1
制,制,1
自,自,1
己,己,1
情,情,1
绪,绪,1
子,狗,1
-,窦,1
-,咁,2
乱,乱,1
七,-,1
八,-,1
糟,我,1
没,顶,1
问,得,1
题,顺,1
但,但,1
肮,污,1
脏,糟,1
话,话,4
-,就,2
接,接,1
受,受,1
了,到,1
事,事,2
依,靠,1
-,晒,2
赖,个,1
公,公,1
坐,坐,1
角,角,1
落,落,1
的,头,1
男,男,2
-,边,2
谁,个,2
请,该,3
把,将,3
-,个,4
故,故,1
从,由,1
头,头,2
到,到,5
尾,尾,1
给,讲,1
-,俾,3
们,地,1
说,听,1
遍,-,1
-,可,4
可,可,6
以,以,7
去,去,6
定,定,1
要,要,6
考,-,1
虑,谂,1
清,清,1
楚,楚,1
想,想,7
么,啲,1
样,点,1
工,工,1
作,-,1
放,放,1
假,假,1
么,边,1
地,-,1
方,度,1
玩,玩,3
呢,呀,2
切,切,1
成,开,1
两,两,2
半,分,1
树,树,3
种,种,2
瑞,瑞,1
士,士,1
大,-,2
多,多,5
-,数,1
能,识,1
说,讲,11
语,语,2
-,呢,3
这,间,2
是,唔,1
禁,-,1
止,俾,1
吸,食,1
烟,烟,1
走,行,2
路,路,2
里,度,8
很,-,1
痛,痛,1
-,到,1
-,犀,1
-,利,1
得,-,2
弹,弹,3
钢,-,2
琴,琴,3
还,仲,1
吉,结,1
他,他,1
-,添,1
-,佢,4
她,唔,1
会,识,4
吗,㗎,4
想,谂,2
得,要,1
花,用,1
小,粒,1
时,钟,1
能,-,1
把,至,1
工,-,1
作,做,1
做,得,1
完,晒,1
-,嘢,2
-,系,1
T,T,2
a,a,4
t,t,2
o,o,2
e,e,2
b,b,2
写,写,2
的,句,1
句,句,2
子,子,2
不,但,1
过,系,1
别,第,1
的,二,1
事,嘢,2
还,都,1
让,等,1
决,话,1
定,事,1
吧,啦,2
圣,圣,1
诞,诞,1
节,节,1
快,快,3
生,生,1
意,意,1
好,好,7
点,啲,2
-,包,1
剪,剪,1
刀,-,1
石,-,1
头,-,1
布,𢱕,1
再,拜,2
见,-,1
了,拜,1
-,喇,5
对,话,1
了,时,1
-,话,1
一,啲,1
件,-,1
告,同,1
诉,-,2
-,讲,2
的,啲,1
亭,亭,1
少,少,2
得,到,2
-,妈,1
可,都,1
怜,唔,1
-,认,1
-,得,1
今,今,1
-,使,1
要,使,1
留,留,2
家,屋,2
中,企,2
告,-,3
诉,话,3
-,知,1
错,错,1
哪,-,2
儿,边,1
-,套,1
电,戏,1
影,好,1
什,有,1
水,生,1
红,红,1
色,色,2
认,-,1
识,识,1
时,阵,2
常,-,2
把,成,1
一,日,1
-,插,1
只,只,3
手,手,1
插,落,1
在,个,1
裤,裤,2
袋,袋,1
色,-,1
开,开,3
始,始,1
暗,黑,1
麻,啰,1
烦,喎,1
你,唔,1
-,该,1
帮,帮,2
-,盏,1
灯,灯,1
-,吖,3
住,住,3
子,俾,1
被,人,1
拆,拆,1
毁,-,1
校,校,2
女,女,2
孩,仔,3
比,多,1
-,过,2
多,-,1
每,朝,1
天,朝,1
早,早,1
上,-,2
喝,饮,1
杯,杯,1
水,水,1
三,-,1
十,卅,1
了,喇,4
-,听,3
以,之,1
后,后,1
份,份,1
文,文,2
件,件,1
多,几,2
重,紧,1
母,阿,1
亲,妈,1
那,阵,1
-,仲,1
时,后,1
比,-,1
我,生,1
还,过,1
要,我,1
年,-,1
轻,-,2
打,打,2
电,机,1
动,-,1
婚,婚,1
再,再,1
我,啲,1
点,-,1
咖,咖,1
啡,啡,1
-,我,1
房,-,2
太,房,1
小,细,1
容,济,1
纳,装,1
十,十,3
中,中,1
国,国,2
亚,亚,1
洲,洲,1
家,家,1
用,使,1
怕,惊,1
伤,伤,1
