cmn,wuu,count
我们,阿拉,8
们试,拉试,1
试试,试试,1
试看,试-,1
--,哏末,1
-那,末哪,1
那又,哪能,1
又怎,能呢,1
怎样,呢-,1
-不,侬勿,1
不要,勿要,2
要说,要瞎,1
说废,瞎-,1
废话,-讲,1
这个,搿只,1
个苹,只苹,1
苹果,苹果,3
果很,果老,1
很酸,老酸,1
酸-,酸个,1
别-,勿要,3
-忘,要忘,2
忘了,忘记,2
了-,记脱,2
-明,脱明,1
明天,明-,1
天六,-朝,1
六时,朝点,1
时-,点钟,2
-来,钟来,1
来接,来寻,1
接我,寻我,1
我相,我相,1
相信,相信,4
信他,信伊,1
他是,伊是,2
是个,是个,2
个聪,个聪,1
聪明,聪明,1
明人,明人,1
什么,-啥,6
么时,啥-,1
时候,-辰,2
候-,辰光,4
-出,光出,1
出发,出发,1
发最,发最,1
最方,最方,1
方便,方便,1
便你,便侬,1
我永,我永,1
永远,永远,2
远不,远勿,2
不会,勿会,2
会-,会得,3
-忘,得忘,1
忘记,忘记,2
记-,记脱,1
-你,脱侬,1
我打,我打,1
打算,打算,2
算把,算拿,1
把这,拿搿,1
这块,搿只,1
块手,只手,1
手表,手表,2
表送,表送,1
送给,送拨,1
给你,拨侬,1
这些,搿眼,2
些书,眼-,1
书是,-是,1
是谁,是啥,4
谁-,啥人,4
-的,人个,2
的-,个书,1
这条,搿条,1
条规,条规,1
规则,规则,1
则不,则勿,1
不是,勿是,2
是什,是-,2
么时,啥个,2
时候,个辰,2
-都,光侪,1
都适,侪适,1
适用,适用,1
用的,用个,1
天气,天气,1
气每,气每,1
每-,每日,1
-天,日天,1
天都,天侪,1
都-,侪垃,1
-在,垃海,6
在变,海变,1
你应,侬应,3
应该,应该,3
该先,该跟,1
先和,跟㑚,1
和你,㑚爷,1
你的,爷-,1
的父,--,1
父母,-娘,1
母谈,娘谈,1
谈-,谈清,1
--,清爽,1
-谈,爽先,1
参加,呒没,1
加的,没多,1
的-,多少,1
-人,少人,1
人并,人-,1
并不,-垃,1
不多,垃海,1
们的,拉个,1
的结,个结,1
结论,结论,1
论就,论就,1
就是,就是,1
是那,是诶,1
那个,诶额,1
个传,额传,1
传言,传言,1
言是,言是,1
是真,是真,1
真的,真个,1
汤姆,汤姆,2
姆回,姆回,1
回-,回到,1
-乡,到乡,1
乡下,乡下,1
下-,下头,1
-了,头了,1
些古,眼古,1
古老,古老,1
老-,老个,1
-习,个习,1
习俗,习俗,1
俗都,俗侪,1
都是,侪是,2
是一,是一,1
一代,一代,2
代一,代一,1
代-,代传,1
-相,传统,1
相传,统传,1
传下,传下,1
下来,下来,3
来的,来个,1
她穿,伊穿,1
穿什,穿-,1
么都,啥侪,1
都好,侪好,1
好看,好看,2
房子,房子,4
子一,子一,1
一间,一-,1
间一,-家,1
一间,家家,1
间地,家-,1
地着,-着,1
着了,着起,1
了火,起火,1
火-,火来,1
她昨,伊昨,1
昨天,昨日,1
天为,日-,1
为什,-啥,1
什么,啥个,2
么-,个道,1
--,道理,1
-不,理勿,1
不来,勿来,1
他的,伊个,2
的房,个房,2
房间,房间,3
间除,间除,1
除了,除-,1
了一,-脱,1
一张,脱张,1
张桌,张桌,1
桌子,桌凳,1
子就,凳别,1
就什,别-,1
什么,-样,1
么-,样物,1
-也,物事,1
也-,事侪,1
--,侪呒,1
-没,呒没,5
没有,没-,4
有了,--,1
过了,过了,1
了三,了三,2
三天,三天,1
天我,天我,1
我才,我侪,2
才知,侪晓,2
知道,晓得,3
道原,得原,1
原来,原来,1
来她,来伊,1
她失,伊失,1
失踪,失踪,1
踪了,踪了,1
你什,侬-,1
-回,光回,1
回来,回来,2
你懂,侬懂,1
懂-,懂勿,1
-得,勿懂,1
得用,懂用,1
用这,用搿,1
这台,搿部,1
台-,部照,1
-相,照相,1
相机,相机,1
机吗,机伐,1
我叫,按照,1
叫你,照我,1
你怎,我跟,1
怎么,跟侬,1
么做,侬讲,1
做你,讲个,1
你就,个搿,1
就怎,搿能,1
怎么,能-,1
么做,-做,1
她很,伊老,1
很-,老欢,1
-喜,欢喜,1
喜欢,喜垃,1
欢在,垃-,1
在电,-电,1
电视,电视,2
视-,视浪,1
-上,浪向,1
上看,向看,1
看网,看网,1
网球,网球,1
球比,球比,1
比赛,比赛,1
赛-,赛个,1
那幅,哀幅,1
幅画,幅画,1
画是,画是,1
是印,是印,1
印象,印象,1
象派,象派,1
派的,派个,1
的大,个大,1
大师,大师,1
师级,师级,1
级作,级作,1
作品,作-,1
位处,拉垃,1
处赤,垃赤,1
赤道,赤道,1
道附,道附,1
附近,附近,2
近一,近一,1
一个,一个,2
个-,个邪,1
-狭,邪气,1
狭窄,气笑,1
窄-,笑个,1
-区,个区,1
区域,区域,2
域的,域个,1
的热,个热,2
热带,热带,2
带雨,带雨,2
雨林,雨林,2
林正,林-,1
正在,--,1
在不,-勿,1
不断,勿停,1
断地,停个,1
地遭,个-,1
遭受,-受,1
受-,受到,1
-人,到人,1
人类,人类,1
类的,类个,1
的破,个破,1
破坏,破坏,1
坏预,坏预,1
预计,预计,1
计在,计拉,1
在-,拉垃,2
-二,垃两,1
二零,两零,1
零零,零零,2
零年,零年,1
年之,年之,1
之前,之前,2
前-,前搿,1
-该,搿个,1
该区,个区,1
域将,域-,1
将会,--,1
会有,-个,1
有五,个五,1
五分,五分,1
分之,分之,1
之四,之四,1
四的,四个,1
林-,林将,1
--,将会,1
--,会得,1
-从,得从,1
从地,从地,1
地球,地球,1
球上,球浪,1
上消,浪消,1
消失,消失,1
该学,该学,1
学习,学会,1
习控,会控,1
控制,控制,1
制自,制自,1
自己,自家,1
己的,家个,1
的情,个情,1
情绪,情绪,1
房子,屋里,1
子-,里向,1
-乱,向乱,1
乱七,乱七,1
七八,七八,1
八糟,八糟,1
糟也,糟也,1
也-,也呒,2
没问,没问,1
问题,问题,2
题-,题个,1
-但,个但,1
但是,但-,1
是肮,-龌,1
肮脏,龌龊,1
脏的,龊个,1
的-,个闲,1
-话,闲话,1
话我,话我,1
我-,我是,1
--,是勿,1
--,勿能,1
--,能够,1
-接,够接,1
接受,接受,1
受不,受-,1
不了,-个,1
她什,伊像,1
什么,像啥,1
么事,啥事,1
事-,事体,3
-也,体侪,1
也依,侪依,1
依赖,依靠,1
赖老,靠老,1
老公,老公,1
公-,公个,1
坐在,坐了,1
在角,了角,1
角落,角落,1
落的,落里,1
的那,里个,1
那-,个哀,1
-个,哀个,1
个男,个男,1
男人,男人,2
人是,人是,2
-请,谢谢,1
请你,谢侬,1
你把,侬拿,2
把-,拿搿,1
--,搿个,1
-故,个故,1
故事,故事,1
事从,事从,1
从头,从头,1
头到,头到,1
到尾,到底,1
尾给,底讲,1
给我,讲-,1
我们,-拨,1
们说,拨阿,1
说一,阿拉,1
一遍,拉听,1
你可,侬可,4
可以,可以,6
以带,以带,1
带我,带我,1
我去,我去,1
去吗,去伐,1
你一,侬一,1
一定,一定,1
定要,定要,1
要考,要考,1
考虑,考虑,1
虑清,虑清,1
清楚,清爽,1
楚你,爽侬,1
你想,侬想,1
想做,想做,1
做怎,做哪,1
怎么,哪能,4
么样,能样,1
样的,样个,1
的工,个工,1
工作,工作,2
你放,侬放,1
放假,放假,1
假打,假打,1
算去,算到,1
去什,到-,1
什么,-啊,1
么-,啊里,1
--,里耷,1
-地,耷去,1
地方,去白,1
方玩,白相,1
玩呢,相呢,1
她把,伊拿,1
把苹,拿苹,1
果切,果-,1
切成,--,1
成了,-一,1
了-,一劈,1
-两,劈两,1
两半,两-,1
这些,搿些,1
些树,些树,1
树是,树是,1
是他,是伊,1
他们,伊拉,1
们种,拉种,1
种的,种个,1
瑞士,瑞士,1
士人,士人,1
人大,人大,1
大多,大多,1
多-,多数,1
-能,数会,1
能-,会得,1
-说,得讲,2
说三,讲三,1
三四,三四,1
四种,四种,1
种语,种语,1
语言,语言,1
这房,搿房,3
间是,间是,1
是禁,是禁,1
禁止,禁止,1
止吸,止吃,1
吸-,吃香,1
-烟,香烟,1
烟的,烟个,1
我一,我一,2
一走,一走,1
走路,走路,2
路这,路搿,1
这里,搿搭,4
里就,搭就,1
就很,就老,1
很痛,老痛,1
痛-,痛个,1
她除,伊除,1
除了,除脱,1
了懂,脱懂,1
懂得,懂得,2
得弹,得弹,2
弹钢,弹钢,2
钢琴,钢琴,2
琴还,琴还,1
还懂,还懂,1
弹吉,弹吉,1
吉他,吉他,1
她会,伊会,1
-弹,得弹,1
琴吗,琴伐,1
我想,我想,4
想他,想伊,1
他得,伊要,1
得花,要花,1
花两,花两,1
两个,两个,1
个小,个钟,1
小时,钟头,1
时才,头才,1
才能,才好,1
能把,好挪,1
把工,挪工,1
作做,作做,1
做完,做光,1
我真,我老,1
真想,老想,1
想在,想拉,1
-T,垃T,2
Ta,Ta,2
at,at,2
to,to,2
oe,oe,2
eb,eb,2
ba,ba,2
a-,a浪,1
-写,浪写,1
写很,写-,1
很多,-交,1
多很,交关,1
很多,关交,1
多的,交关,1
的句,关句,1
句子,句子,2
子不,子但,1
不过,但是,1
过我,是我,1
我有,我有,2
有别,有别,1
别的,别个,1
的事,个事,1
-要,体要,2
要做,要做,1
们还,拉还,1
还是,还是,1
是让,是等,1
让老,等老,1
老师,老师,1
师决,师决,1
决定,决定,1
定吧,定伐,1
圣诞,圣诞,1
诞节,诞节,1
节快,节-,1
快到,-到,1
到了,到快,1
了生,快生,1
生意,生意,1
意也,意也,1
也好,也好,3
好了,好-,1
了点,-点,1
--,榔头,1
-剪,头剪,1
剪刀,剪刀,1
刀石,刀纸,1
石头,纸头,1
头布,头-,1
我要,我要,1
要和,要帮,1
和你,帮侬,1
你说,侬讲,2
说再,讲再,1
再见,再会,2
