wuu,wen,count
阿拉,卬你,6
拉试,你试,1
试试,试试,1
试-,试眙,1
哏末,那就,1
末-,就訾,1
-哪,訾那,3
哪能,那能,2
能呢,能爻,1
侬勿,-覅,1
勿要,覅-,6
要瞎,--,1
瞎讲,-讲,1
讲-,讲废,1
--,废话,1
搿只,居个,2
只苹,个苹,1
苹果,苹果,3
果老,果-,1
老酸,-酸,1
酸个,酸显,1
个-,显酸,1
要忘,-悗,3
忘记,悗记,4
记脱,记爻,2
脱明,爻明,1
明朝,明朝,1
朝-,朝六,1
-点,六点,1
点钟,点钟,1
钟-,钟走,1
-来,走来,3
来寻,来接,1
寻我,接我,1
我相,我相,1
相信,相信,4
信伊,信渠,1
伊是,渠是,2
是个,是个,2
个聪,个聪,1
聪明,聪明,1
明人,明人,1
啥辰,-若,1
辰光,若能,1
光出,能届,1
出发,届走,1
发最,走最,1
最方,最方,1
方便,方便,1
便侬,便啊,1
侬-,啊你,1
我永,我永,1
永远,永远,2
远勿,远覅,2
勿会,覅-,1
会得,--,2
得忘,-悗,1
记脱,记-,1
脱侬,-你,1
我打,我打,1
打算,打算,2
算拿,算逮,1
拿搿,逮居,1
只手,个手,1
手表,手表,2
表送,表送,1
送拨,送匄,1
拨侬,匄你,1
-搿,居厘,1
搿眼,厘书,1
眼是,书是,1
是啥,是何,3
啥-,何乜,3
-人,乜人,3
人个,人个,2
个书,个-,1
搿条,居条,1
条规,条规,1
规则,规定,1
则勿,定否,1
勿是,否是,2
是-,是若,1
-啥,若能,2
啥个,能届,2
个辰,届沃,2
辰光,沃-,1
光侪,-可,1
侪适,可以,1
适用,以用,1
用个,用个,1
天气,天气,1
气每,气每,1
每日,每日,1
日-,日沃,1
-天,沃是,1
天侪,是-,1
侪垃,--,1
垃海,-得,1
海变,得变,1
侬应,你应,3
应该,应该,3
该-,该伉,1
-跟,伉你,1
跟㑚,你爸,1
㑚爷,爸妈,1
爷娘,妈-,1
娘谈,-谈,1
谈清,谈一,1
清爽,一谈,1
爽先,谈先,1
呒没,参加,1
没多,加个,1
多少,个-,1
少人,-人,1
人-,人并,1
-垃,并否,1
垃海,否多,1
阿拉,我厘,2
拉个,厘个,1
个结,个结,1
结论,结论,1
论就,论就,1
就是,就是,1
是诶,是许,1
诶额,许个,1
额传,个传,1
传言,传言,1
言是,言是,1
是真,是真,1
真个,真个,1
汤姆,汤姆,2
姆回,姆走,1
回到,走-,1
到乡,-乡,1
乡下,乡下,1
下头,下转,1
头了,转哦,1
